Song Title,Date,Release Type,Album Name,Group,FullGroup,Notes,Number Members,Taeil,Johnny,Taeyong,Yuta,Kun,Doyoung,Ten,Jaehyun,Jungwoo,Mark,Lucas,Winwin,Xiaojun,Hendery,Renjun,Jeno,Haechan,Jaemin,Yangyang,Chenle,Jisung,Shotaro,Sungchan
The 7th Sense,4/9/2016,Single,,NCT U,,,5,1,,1,,,1,,1,,1,,,,,,,,,,,,,
Without You (K),4/9/2016,Single,,NCT U,,,3,1,,,,,1,,1,,,,,,,,,,,,,,,
Without You (C),4/9/2016,Single,,NCT U,,,4,1,,,,1,1,,1,,,,,,,,,,,,,,,
Fire Truck,6/10/2016,EP,NCT #127,NCT 127,1,,7,1,,1,1,,,,1,,1,,1,,,,,1,,,,,,
Once Again,6/10/2016,EP,NCT #127,NCT 127,1,,7,1,,1,1,,,,1,,1,,1,,,,,1,,,,,,
Wake Up,6/10/2016,EP,NCT #127,NCT 127,1,,7,1,,1,1,,,,1,,1,,1,,,,,1,,,,,,
Another World,6/10/2016,EP,NCT #127,NCT 127,1,,7,1,,1,1,,,,1,,1,,1,,,,,1,,,,,,
Paradise,6/10/2016,EP,NCT #127,NCT 127,1,,7,1,,1,1,,,,1,,1,,1,,,,,1,,,,,,
Mad City,6/10/2016,EP,NCT #127,NCT 127,,subunit,3,,,1,,,,,1,,1,,,,,,,,,,,,,
Switch,6/10/2016,EP,NCT #127,NCT 127,,"SR15B, Hansol",13,1,1,1,1,,1,1,1,,1,,1,,,,1,1,1,,,1,,
Chewing Gum,8/24/2016,Single,,NCT DREAM,1,,7,,,,,,,,,,1,,,,,1,1,1,1,,1,1,,
Limitless,1/6/2017,EP,Limitless,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
Good Thing,1/6/2017,EP,Limitless,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
Back 2 U (AM 1:27),1/6/2017,EP,Limitless,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
Heartbreaker,1/6/2017,EP,Limitless,NCT 127,,,7,1,,1,1,,1,,1,,1,,,,,,,1,,,,,,
Baby Don't Like It,1/6/2017,EP,Limitless,NCT 127,,,5,1,,1,,,1,,,,1,,,,,,,1,,,,,,
Angel,1/6/2017,EP,Limitless,NCT 127,,,7,1,,1,1,,1,,1,,1,,,,,,,1,,,,,,
Cherry Bomb,6/14/2017,EP,Cherry Bomb,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
Running 2 U ,6/14/2017,EP,Cherry Bomb,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
0 Mile,6/14/2017,EP,Cherry Bomb,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
Sun & Moon ,6/14/2017,EP,Cherry Bomb,NCT 127,,,5,1,1,1,1,,1,,,,,,,,,,,,,,,,,
Whiplash,6/14/2017,EP,Cherry Bomb,NCT 127,,,4,1,,1,,,,,1,,1,,,,,,,,,,,,,
Summer 127,6/14/2017,EP,Cherry Bomb,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
Cherry Bomb (Performance version),6/14/2017,EP,Cherry Bomb,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
Intro: Neo Got My Back,3/14/2018,Studio Album,NCT 2018 Empathy,NCT U,,,0,,,,,,,,,,,,,,,,,,,,,,,
Boss,3/14/2018,Studio Album,NCT 2018 Empathy,NCT U,,,7,,,1,,,1,,1,1,1,1,1,,,,,,,,,,,
Baby Don't Stop,3/14/2018,Studio Album,NCT 2018 Empathy,NCT U,,,2,,,1,,,,1,,,,,,,,,,,,,,,,
Go,3/14/2018,Studio Album,NCT 2018 Empathy,NCT DREAM,1,,7,,,,,,,,,,1,,,,,1,1,1,1,,1,1,,
Touch,3/14/2018,Studio Album,NCT 2018 Empathy,NCT 127,1,,9,1,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,
Yestoday,3/14/2018,Studio Album,NCT 2018 Empathy,NCT U ,,,4,,,1,,,1,,,,1,1,,,,,,,,,,,,
Black on Black,3/14/2018,Studio Album,NCT 2018 Empathy,NCT 2018,,,5,,,1,1,,,,,,1,1,,,,,1,,,,,,,
Timeless (K),3/14/2018,Studio Album,NCT 2018 Empathy,NCT U ,,,3,1,,,,,1,,1,,,,,,,,,,,,,,,
Dream in a Dream,3/14/2018,Studio Album,NCT 2018 Empathy,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
Outro: Vision,3/14/2018,Studio Album,NCT 2018 Empathy,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Yestoday (Extended Version),3/14/2018,Studio Album,NCT 2018 Empathy,NCT U,,,4,,,1,,,1,,,,1,1,,,,,,,,,,,,
