,name,weight,groups,position,months_since_debut
0,Taeil,26,['NCT 127'],Vocalist,80
1,Johnny,11,['NCT 127'],Vocalist,71
2,Taeyong,27,"['NCT 127', 'SuperM']",Rapper,80
3,Yuta,16,['NCT 127'],Dancer,77
4,Doyoung,32,['NCT 127'],Vocalist,80
5,Jaehyun,26,['NCT 127'],Vocalist,80
6,Jungwoo,14,['NCT 127'],Vocalist,70
7,Winwin,7,"['NCT 127', 'WayV']",Dancer,77
8,Kun,15,['WayV'],Vocalist,57
9,Ten,15,"['WayV', 'SuperM']",Dancer,80
10,Lucas,11,"['WayV', 'SuperM']",Rapper,58
11,Xiaojun,12,['WayV'],Vocalist,47
12,Hendery,10,['WayV'],Rapper,47
13,Yangyang,12,['WayV'],Rapper,47
14,Shotaro,7,[],Dancer,26
15,Sungchan,6,[],Rapper,26
16,Renjun,10,['NCT DREAM'],Vocalist,76
17,Jeno,10,['NCT DREAM'],Dancer,76
18,Jaemin,10,['NCT DREAM'],Rapper,76
19,Chenle,12,['NCT DREAM'],Vocalist,76
20,Jisung,10,['NCT DREAM'],Dancer,76
21,Mark,28,"['NCT 127', 'NCT DREAM', 'SuperM']",Rapper,80
22,Haechan,19,"['NCT 127', 'NCT DREAM']",Vocalist,77
